Ambience	"Exterior"
Enemies	"Medusa_Movement"
Enemies	"Esploratori_Movement"
Enemies	"Granchio_Attack_Heavy"
Enemies	"Granchio_Attack_Light"
Enemies	"Granchio_Damage"
Enemies	"Granchio_Death"
Enemies	"Granchio_Idle"
Enemies	"Granchio_Movement"
Enemies	"Granchio_Impact_Ground"
Enemies	"Medusa_Dummy"
Kria	"Kria_Health"
Kria	"Weapon_Hit"
Kria	"Kria_Attack"
Kria	"Kria_Attack_Long"
Kria	"Kria_Dash"
Kria	"Kria_Death"
Kria	"Kria_Hurt"
Kria	"Kria_Idle"
Kria	"Kria_Jump_Double"
Kria	"Kria_Jump_Land"
Kria	"Kria_Movement"
Kria	"Kria_Parata"
Kria	"Weapon_Hit"
Kria	"Weapon_On_Off"
Music	"Start_Level"
